TIME                           PID  UID  GID SIG     COREFILE EXE                                                SIZE
Wed 2023-04-05 19:59:48 AEST   633 1000 1000 SIGSEGV missing  /tmp/.mount_yuzuybgIat/usr/bin/yuzu                   -
Sat 2023-04-08 06:51:44 AEST   504 1000 1000 SIGSEGV missing  /usr/bin/wireplumber                                  -
Sat 2023-04-08 06:52:17 AEST  1395 1000 1000 SIGSEGV missing  /tmp/.mount_yuzuKgNhlu/usr/bin/yuzu                   -
Sat 2023-04-08 10:40:53 AEST  9684 1000 1000 SIGSEGV missing  /tmp/.mount_yuzuOxOuAo/usr/bin/yuzu                   -
Fri 2023-04-14 09:28:47 AEST  6991 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:28:55 AEST  7089 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:28:57 AEST  7143 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:29:27 AEST  7243 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:29:52 AEST  7363 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:30:04 AEST  7462 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:30:12 AEST  7559 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:30:17 AEST  7624 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:30:23 AEST  7689 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:30:26 AEST  7754 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:30:31 AEST  7821 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:30:35 AEST  7885 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:30:46 AEST  7975 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 09:32:51 AEST  8210 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 10:12:10 AEST 10569 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 10:12:14 AEST 10639 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Fri 2023-04-14 10:12:37 AEST 10720 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 15:40:01 AEST 16062 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 15:40:04 AEST 16144 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 15:40:12 AEST 16266 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:31:20 AEST 19484 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:31:35 AEST 19603 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:31:39 AEST 19684 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:31:42 AEST 19738 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:31:48 AEST 19848 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:31:56 AEST 19910 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:32:44 AEST 20022 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:32:59 AEST 20125 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:33:04 AEST 20204 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:33:18 AEST 20280 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:33:26 AEST 20366 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:33:42 AEST 20437 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:33:49 AEST 20519 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:33:54 AEST 20572 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:35:44 AEST 21127 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 16:50:12 AEST 24464 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:57:27 AEST 28749 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:57:43 AEST 28843 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:57:47 AEST 28922 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:58:16 AEST 29062 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:58:49 AEST 29261 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:07 AEST 29363 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:18 AEST 29453 1000 1000 SIGFPE  missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:30 AEST 29545 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:40 AEST 29634 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:48 AEST 29718 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:52 AEST 29774 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 18:00:01 AEST 29912 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 18:00:07 AEST 29965 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 18:00:13 AEST 30021 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:32:39 AEST  3357 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:32:57 AEST  3483 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:33:01 AEST  3566 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:34:47 AEST  3736 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
